Id,First Emotion,Second Emotion,Third Emotion,anger,contempt,disgust,fear,disappointment,shame,regret,sadness,compassion,relief,admiration,love,contentment,joy,pride,amusement,interest
57,,,,1,4,2,4,0,0,0,4,0,3,2,1,1,4,4,1,1
58,,,,3,1,3,0,0,1,0,3,3,2,1,4,4,2,4,0,4
59,,,,4,2,2,1,3,2,2,1,0,3,2,4,1,2,1,4,2
60,,,,0,1,4,1,3,0,2,2,2,1,4,4,1,0,0,0,0
61,,,,0,4,1,3,4,4,1,4,2,4,4,4,2,4,2,4,0
62,,,,4,4,4,0,2,3,1,4,1,4,1,2,4,4,2,3,3
63,,,,0,4,0,1,3,2,2,3,3,0,2,0,1,3,3,4,4
64,,,,2,3,2,4,4,3,2,4,1,1,4,2,2,3,3,1,3
65,,,,2,3,2,0,2,3,0,2,4,0,2,4,1,0,0,4,1
66,,,,0,4,4,4,3,3,4,3,3,4,1,1,0,4,3,3,0
67,,,,1,4,4,2,4,4,2,2,2,2,1,3,0,1,4,4,0
68,,,,1,0,0,1,1,2,0,4,2,4,4,4,3,1,4,1,2
69,,,,1,3,2,0,0,4,3,3,1,3,2,3,2,2,0,1,0
70,,,,3,0,2,3,2,0,3,2,0,1,2,2,2,4,3,3,3
71,,,,1,1,2,3,1,0,4,3,1,2,3,1,0,0,4,2,4
72,,,,3,4,2,2,1,0,1,2,0,3,3,4,4,3,4,2,4
73,,,,3,0,1,1,4,1,3,0,3,4,0,1,2,1,4,4,2
74,,,,3,4,0,1,1,4,4,1,0,4,4,4,1,4,2,2,4
75,,,,3,1,4,4,3,4,4,2,1,2,0,0,3,3,4,3,1
76,,,,0,0,2,4,1,0,0,1,1,1,2,1,0,1,0,3,3
77,,,,3,2,1,2,3,3,3,0,3,4,1,2,4,3,2,2,0
78,,,,2,2,4,3,2,4,3,2,1,3,3,3,2,0,2,3,0
79,,,,0,4,3,4,4,3,4,0,1,1,0,0,0,1,0,3,1
80,,,,2,4,2,3,2,2,1,4,2,2,4,2,2,2,4,3,0
81,,,,4,3,2,0,3,4,4,2,3,3,3,4,4,3,1,1,4
82,,,,1,3,3,4,3,0,1,0,0,3,4,1,3,1,2,1,4
83,,,,3,0,1,4,2,0,2,1,0,3,2,4,0,0,2,4,4
84,,,,3,2,3,2,1,0,0,1,0,0,2,2,4,4,0,0,4
85,,,,2,2,4,0,4,1,1,0,1,1,3,0,0,0,3,0,3
86,,,,2,4,4,2,0,4,0,0,4,4,2,2,3,4,4,3,3
87,,,,4,0,3,4,1,3,3,2,3,3,0,3,2,3,2,1,1
88,,,,2,2,2,3,2,0,2,0,1,2,1,4,1,2,2,1,4
89,,,,2,3,3,2,2,1,1,1,4,2,4,2,0,4,2,4,0
90,,,,2,1,0,2,2,2,4,3,2,1,4,1,4,3,1,4,4
91,,,,4,0,1,0,0,1,0,1,0,4,3,1,2,2,0,2,0
92,,,,3,4,0,1,3,2,0,2,2,3,2,2,4,4,2,1,3
93,,,,3,1,2,3,3,3,1,4,2,1,4,2,4,2,1,4,4
94,,,,3,0,1,4,0,2,4,0,1,2,3,4,3,2,2,2,1
95,,,,0,3,1,0,2,1,3,2,4,1,2,4,3,4,0,2,2
96,,,,0,2,1,1,1,3,2,3,4,3,0,0,4,0,0,1,2
97,,,,0,0,1,0,3,1,3,3,1,0,1,3,2,4,0,2,1
98,,,,1,2,4,4,3,3,2,1,2,4,3,3,4,1,4,2,2
99,,,,4,1,2,4,0,1,2,4,2,4,1,3,4,0,0,2,0
100,,,,4,2,1,1,3,4,0,2,2,4,2,1,2,1,0,0,3
101,,,,4,3,3,3,2,2,2,4,3,4,4,3,2,0,1,0,0
102,,,,2,3,0,3,0,1,3,3,3,2,3,3,4,3,0,1,2
103,,,,2,3,1,2,2,4,3,3,0,3,0,3,1,1,2,0,2
104,,,,3,2,3,0,4,2,2,4,0,1,0,1,1,0,4,2,0
105,,,,4,3,4,1,2,1,3,0,2,1,2,2,1,3,3,1,2
106,,,,3,4,2,0,4,0,1,4,4,4,4,2,2,0,4,2,0
107,,,,4,3,2,3,1,1,0,0,2,3,1,4,0,4,0,3,2
108,,,,2,4,1,4,0,3,2,2,0,3,4,3,2,4,1,4,4
109,,,,4,1,3,4,0,1,4,4,2,4,1,4,4,0,3,0,1
110,,,,1,0,1,2,0,1,3,2,0,0,1,3,4,0,3,0,0
111,,,,1,4,4,4,1,4,3,4,1,4,2,4,3,3,4,3,1
112,,,,0,2,3,1,0,1,1,4,3,4,2,1,1,3,4,0,4
113,,,,1,4,3,2,0,4,1,2,3,2,0,1,1,3,0,4,3
114,,,,2,1,0,3,1,3,3,1,1,4,1,0,2,2,3,4,4
115,,,,1,2,2,2,4,3,4,1,0,4,4,3,1,3,2,1,3
116,,,,4,3,3,0,2,2,1,2,4,2,4,0,0,4,0,0,4
117,,,,4,2,1,4,0,0,0,3,0,4,0,4,4,2,3,1,2
118,,,,1,4,1,3,0,4,1,3,4,2,0,0,4,1,4,4,4
119,,,,0,3,2,2,0,0,2,4,3,2,0,4,1,4,2,4,3
120,,,,0,3,1,4,2,2,0,1,4,0,0,0,4,4,3,3,3
121,,,,3,2,0,2,2,2,0,1,3,2,0,2,1,1,1,2,2
122,,,,1,2,0,2,0,4,3,4,1,1,1,2,4,3,0,2,0
123,,,,3,3,1,4,3,2,1,2,0,2,3,1,2,1,2,3,1
124,,,,4,3,1,3,0,0,2,1,2,1,2,2,0,4,3,0,2
125,,,,1,0,1,3,0,4,4,3,3,1,1,4,2,4,0,2,4
126,,,,0,1,1,1,2,0,4,3,3,0,1,4,4,2,1,1,2
127,,,,4,1,0,4,0,2,0,3,2,2,2,1,2,1,3,3,4
128,,,,4,1,0,0,0,1,2,2,0,4,1,4,3,3,4,0,4
129,,,,3,3,2,4,2,2,1,3,2,3,4,3,2,2,2,4,4
130,,,,0,2,1,3,1,4,1,4,2,1,4,1,1,1,3,4,4
131,,,,4,1,3,3,0,3,0,0,4,4,0,1,1,4,0,3,0
132,,,,1,2,0,1,1,3,4,3,1,1,3,4,3,3,1,4,4
133,,,,3,1,3,0,3,1,1,4,2,3,0,0,2,3,1,0,1
134,,,,4,3,2,3,3,1,3,0,0,3,0,1,0,2,0,2,3
135,,,,3,4,2,2,0,4,2,3,1,2,2,0,4,0,0,2,4
136,,,,0,2,1,4,0,4,1,3,2,3,4,4,4,4,0,4,4
137,,,,2,1,0,3,2,0,1,4,0,3,1,2,1,3,0,3,4
138,,,,2,4,3,4,1,4,4,4,3,2,4,2,2,2,0,1,4
139,,,,2,3,0,0,0,1,4,2,3,1,1,2,2,2,0,0,1
140,,,,3,2,4,1,2,2,4,4,3,0,0,2,3,1,2,3,0
141,,,,4,1,1,2,0,0,3,0,4,3,0,2,4,0,4,4,4
142,,,,4,0,2,3,3,0,3,4,0,1,3,4,3,2,0,4,2
143,,,,2,2,2,2,3,0,4,0,2,3,2,3,3,1,0,1,1
144,,,,0,0,1,1,2,0,1,3,3,1,3,2,1,1,3,2,0
145,,,,4,2,0,3,0,0,2,3,1,3,3,3,4,2,2,0,3
146,,,,3,0,4,4,3,1,4,2,4,0,0,1,2,1,4,1,0
147,,,,0,4,3,1,1,4,1,0,2,2,0,0,4,1,3,1,1
148,,,,0,0,4,3,4,4,2,2,2,0,0,2,3,1,2,3,3
149,,,,4,1,3,3,3,0,0,1,4,2,3,0,4,2,1,3,2
150,,,,1,1,1,1,4,4,2,3,0,2,3,3,4,1,2,4,2
151,,,,0,3,4,1,2,2,2,2,2,4,2,0,0,1,1,4,4
152,,,,1,0,4,1,4,0,3,3,1,1,4,4,0,3,3,3,2
153,,,,0,3,4,0,1,0,1,3,0,1,2,3,2,0,0,0,3
154,,,,3,3,3,3,2,4,4,4,2,1,0,3,3,3,3,0,1
155,,,,1,3,2,0,4,1,0,3,3,0,3,4,1,4,0,0,1
156,,,,2,1,4,3,0,4,2,2,0,0,1,2,1,1,3,4,2
157,,,,2,1,0,1,0,0,3,2,4,1,4,0,1,0,0,2,3
158,,,,0,2,1,1,2,1,1,1,1,0,4,1,4,0,3,0,3
159,,,,4,2,1,4,3,2,4,1,0,2,0,2,3,0,0,3,3
160,,,,0,1,1,4,2,4,0,4,1,1,0,2,3,0,4,1,2
161,,,,3,3,2,4,0,3,4,1,3,4,2,2,2,2,1,3,2
162,,,,1,3,1,0,4,4,4,1,1,2,4,0,1,1,1,3,0
163,,,,3,2,1,1,3,1,2,1,3,2,3,2,1,0,2,2,4
164,,,,3,1,2,0,2,3,2,0,4,0,4,0,0,1,1,4,4
165,,,,3,1,0,3,3,0,3,4,2,4,2,3,1,0,4,0,2
166,,,,2,1,2,2,1,1,2,2,1,4,2,0,4,3,4,2,2
167,,,,3,1,3,0,3,0,4,4,1,3,3,3,0,1,3,2,0
168,,,,2,2,4,1,3,1,0,0,2,2,3,1,0,0,3,0,4
169,,,,3,1,4,0,4,1,1,1,3,2,2,3,4,2,1,4,0
170,,,,4,4,1,1,2,1,0,4,1,2,0,3,2,3,1,1,3
171,,,,3,2,3,2,2,3,3,0,4,0,1,4,0,4,4,2,2
172,,,,3,3,4,1,0,1,0,4,2,4,4,0,3,2,4,4,1
173,,,,3,4,0,1,2,3,0,1,1,2,2,3,0,2,0,3,3
174,,,,3,3,0,4,1,2,3,4,2,0,1,3,4,0,2,2,0
175,,,,2,4,3,3,4,4,0,2,0,4,1,1,4,4,3,4,1
176,,,,4,2,4,0,1,1,4,2,4,4,3,1,0,0,1,4,0
177,,,,2,2,3,1,1,1,4,0,3,0,0,1,0,3,2,3,4
178,,,,1,0,1,3,1,0,4,4,3,0,4,0,4,1,4,2,2
179,,,,2,1,4,4,2,2,4,2,1,3,1,2,1,2,1,0,1
180,,,,2,2,0,4,1,1,2,0,0,3,0,2,2,4,2,1,0
181,,,,0,2,0,3,1,3,1,4,1,3,3,3,0,1,2,4,4
182,,,,3,0,2,3,1,0,0,3,2,2,2,1,2,3,2,2,2
183,,,,4,4,1,2,3,4,0,0,3,4,3,3,1,2,3,1,1
184,,,,0,0,1,2,1,0,1,2,3,1,3,1,3,2,1,1,3
185,,,,0,4,3,0,4,3,4,2,1,3,4,4,4,2,4,2,1
186,,,,0,0,2,4,4,4,2,0,1,2,1,2,0,3,1,1,0
187,,,,3,4,0,0,0,4,4,1,4,2,3,2,3,4,3,1,2
188,,,,2,4,0,2,4,4,4,4,4,0,4,2,1,1,1,0,1
189,,,,2,0,2,1,4,4,3,3,1,1,1,3,4,3,4,4,3
190,,,,2,1,2,2,2,2,2,4,0,1,2,3,0,3,4,3,4
191,,,,3,2,4,4,1,1,3,4,4,2,0,3,1,4,3,0,4
192,,,,1,0,2,2,3,4,3,1,4,1,1,1,2,0,4,2,2
193,,,,3,0,2,4,3,0,2,1,1,0,1,4,3,2,1,4,2
194,,,,4,3,0,3,1,0,0,2,1,2,0,1,0,2,3,0,3
195,,,,2,0,3,0,2,0,0,1,2,2,3,3,1,0,0,0,1
196,,,,1,1,1,2,3,0,3,1,0,2,1,2,4,3,4,4,4
197,,,,3,0,2,1,0,1,0,2,4,4,0,1,0,1,1,1,0
198,,,,2,2,4,1,1,1,4,4,2,3,0,0,1,4,3,3,4
199,,,,3,0,2,4,1,0,2,2,3,2,4,2,0,1,4,0,0
200,,,,2,0,3,3,0,0,4,4,1,0,0,3,2,0,1,3,2
201,,,,4,3,4,3,3,1,4,2,0,4,2,1,1,0,3,2,0
202,,,,4,3,1,1,3,1,4,4,1,1,4,0,0,2,2,1,3
203,,,,1,3,4,1,3,3,0,1,3,4,1,2,3,1,0,2,0
204,,,,3,0,0,0,1,0,4,4,4,2,1,4,0,0,2,1,1
205,,,,4,1,2,2,0,2,3,2,1,0,1,2,0,1,0,3,1
206,,,,3,1,1,0,0,4,2,1,0,3,3,0,4,3,2,4,0
207,,,,4,3,4,4,3,4,2,2,4,4,0,1,1,0,3,1,0
208,,,,4,0,3,0,2,4,0,2,4,1,0,0,4,4,2,0,4
209,,,,0,1,2,3,4,4,3,3,1,3,0,2,4,4,1,2,1
210,,,,3,0,4,1,0,1,0,1,0,0,4,3,0,0,2,4,2
211,,,,3,3,3,2,4,3,1,0,4,0,2,4,2,4,2,2,2
212,,,,1,4,4,4,0,1,3,2,0,2,4,2,3,3,4,1,3
213,,,,1,2,4,1,1,2,1,2,2,2,1,0,0,3,2,1,0
214,,,,2,1,4,1,3,1,3,3,2,3,0,2,4,3,4,4,4
215,,,,4,2,4,4,2,0,4,1,1,1,3,0,3,2,3,2,0
216,,,,4,1,2,3,1,4,0,2,0,0,3,1,1,0,3,1,1
217,,,,1,3,4,2,3,3,4,0,3,1,0,1,4,4,4,1,3
218,,,,0,4,3,1,0,0,0,1,4,1,0,0,4,0,4,4,4
219,,,,2,2,2,0,1,0,1,1,1,2,3,4,2,0,1,1,1
220,,,,4,4,1,2,4,3,1,1,1,4,2,2,3,3,1,2,1
221,,,,1,2,0,3,2,4,0,2,1,0,0,4,1,2,0,1,1
222,,,,4,1,1,2,2,0,0,3,2,3,1,2,0,3,4,4,4
223,,,,1,2,4,3,1,2,2,1,3,2,1,1,2,3,4,2,0
224,,,,3,4,0,2,3,1,4,0,4,3,0,3,2,3,3,0,1
225,,,,0,1,2,4,2,3,2,4,4,1,2,1,2,1,1,4,3
226,,,,3,0,4,4,2,0,0,4,0,1,4,2,3,2,0,3,3
227,,,,3,1,4,2,3,2,4,4,2,3,1,1,0,1,3,1,4
228,,,,1,2,4,4,4,2,1,1,1,4,1,3,3,1,1,0,0
229,,,,2,0,3,0,1,3,4,2,0,0,0,0,2,1,0,2,2
230,,,,4,3,0,2,1,4,1,2,3,4,2,3,2,3,3,1,3
231,,,,1,4,0,1,0,2,2,2,0,0,3,1,1,2,1,1,0
232,,,,3,0,0,3,4,3,2,4,0,0,3,1,3,0,0,0,3
233,,,,3,2,1,0,2,2,2,4,4,1,4,4,0,4,4,0,2
234,,,,1,0,1,1,3,0,3,0,0,4,2,4,1,0,2,2,3
235,,,,3,1,2,4,3,3,0,4,4,1,1,0,1,4,3,0,4
236,,,,2,1,2,4,2,3,3,0,2,2,0,0,1,3,0,3,4
237,,,,4,2,3,1,4,0,3,3,0,2,3,0,4,2,0,4,2
238,,,,0,3,1,0,2,0,3,1,1,3,2,1,4,2,2,2,1
239,,,,2,2,4,0,2,3,2,0,0,2,4,1,0,0,3,1,2
240,,,,1,2,4,3,2,3,0,3,0,4,3,0,3,1,0,3,4
241,,,,2,3,2,3,2,4,3,1,3,4,2,3,1,4,3,2,0
242,,,,3,4,1,2,2,1,3,4,2,3,2,0,3,4,0,0,2
243,,,,1,1,4,2,1,1,2,3,2,4,2,4,3,4,2,1,2
244,,,,0,4,2,1,2,1,1,4,4,1,2,0,3,0,2,2,2
245,,,,3,3,2,4,3,2,2,0,1,4,0,1,2,3,0,2,3
246,,,,2,3,2,0,3,4,4,4,1,4,4,2,0,2,3,2,1
247,,,,0,3,4,2,3,4,1,1,1,2,0,1,1,0,2,3,1
248,,,,2,1,0,3,0,0,1,2,4,4,0,0,3,4,1,2,3
249,,,,1,2,2,1,4,4,4,4,3,2,0,0,0,1,0,0,1
250,,,,0,2,4,1,2,4,4,2,1,1,3,1,0,2,2,4,1
251,,,,1,1,3,2,3,1,2,2,0,2,0,2,2,2,2,3,0
252,,,,3,0,2,4,4,0,3,2,1,2,4,3,4,2,4,2,2
253,,,,0,0,1,0,4,2,2,4,3,4,2,2,0,2,4,3,4
254,,,,4,0,2,4,2,0,3,1,3,2,0,2,0,2,1,1,2
255,,,,0,4,2,1,2,0,4,2,1,0,4,1,2,2,1,4,3
256,,,,3,3,0,1,2,4,2,3,3,2,4,3,2,3,2,0,0
257,,,,4,2,0,3,2,4,1,3,4,4,3,4,1,1,2,4,2
258,,,,2,0,4,0,3,3,0,0,1,3,4,1,2,4,2,1,0
259,,,,3,1,1,4,4,3,4,2,1,0,4,4,4,2,4,3,0
260,,,,1,1,2,1,4,3,3,1,0,4,0,0,3,3,2,4,1
261,,,,4,3,3,3,3,1,4,0,0,3,2,4,2,2,3,4,4
262,,,,0,0,4,4,4,3,3,3,0,3,3,2,2,0,1,4,1
263,,,,2,4,4,0,2,3,3,0,1,4,4,2,1,4,2,1,3
264,,,,4,4,1,0,0,4,2,1,1,0,1,4,1,2,3,1,3
265,,,,1,2,3,1,1,1,1,2,3,0,4,2,1,3,2,2,4
266,,,,2,1,3,2,1,4,0,2,4,3,2,2,3,2,1,4,4
267,,,,1,2,4,0,2,3,2,4,4,0,3,0,2,0,2,0,2
268,,,,0,1,3,1,0,0,4,0,0,4,2,4,1,1,1,0,2
269,,,,4,4,0,1,2,0,2,1,3,0,4,2,1,3,3,4,3
270,,,,2,1,1,0,0,2,2,2,4,1,1,2,3,0,2,2,3
271,,,,0,1,3,1,0,1,4,4,3,0,4,4,2,2,3,4,2
272,,,,3,4,0,0,2,2,4,3,2,3,2,3,0,2,1,4,4
273,,,,1,2,4,1,1,4,1,1,1,1,0,1,3,3,0,4,4
274,,,,1,0,2,3,3,0,3,4,3,2,3,2,2,0,1,1,4
275,,,,2,1,2,1,0,1,1,2,1,2,2,4,3,3,1,4,0
276,,,,2,2,0,0,1,4,0,2,3,2,1,0,1,1,3,0,1
277,,,,0,1,3,1,0,0,2,3,1,4,0,4,4,0,2,0,0
278,,,,1,3,2,4,2,0,2,3,3,1,4,4,0,0,4,1,2
279,,,,2,0,3,2,1,4,1,3,0,2,4,4,3,2,2,1,3
280,,,,3,4,4,3,0,3,2,3,4,2,1,4,4,0,1,0,3
281,,,,1,1,0,3,0,4,3,0,3,2,4,0,2,1,2,4,1
282,,,,0,4,1,3,2,1,3,3,2,3,3,3,2,0,0,3,3
283,,,,4,0,1,0,2,2,4,2,4,2,4,1,4,4,4,4,1
284,,,,2,3,2,4,1,4,3,2,1,3,1,1,4,2,1,3,3
285,,,,3,4,4,1,2,2,1,3,4,3,3,3,0,3,3,3,0
286,,,,3,2,2,3,3,3,1,2,3,0,3,3,3,2,1,4,2
287,,,,2,3,1,4,4,1,1,2,1,3,4,0,3,2,3,4,4
288,,,,1,2,3,1,3,3,3,2,3,1,1,1,3,1,2,0,0
289,,,,3,0,2,2,3,1,4,4,2,4,1,1,2,2,4,0,3
290,,,,2,4,4,1,3,3,4,0,0,0,4,4,3,4,0,3,4
291,,,,4,0,4,0,1,2,3,3,0,2,3,1,2,4,3,1,2
292,,,,0,3,2,3,3,4,3,4,0,2,1,1,4,0,2,4,2
293,,,,0,2,2,2,3,1,4,2,3,0,0,3,1,3,3,2,2
294,,,,0,0,2,3,1,4,3,0,3,4,2,2,1,1,4,3,2
295,,,,1,1,1,0,4,3,3,3,0,3,4,2,3,1,4,2,3
296,,,,2,3,2,2,3,3,1,0,0,1,3,4,1,2,2,3,4
297,,,,1,3,0,4,3,4,4,3,4,3,1,4,4,3,4,1,0
298,,,,1,1,3,3,2,1,2,3,3,4,0,2,2,0,0,0,2
299,,,,3,0,3,3,0,0,0,2,4,2,0,1,1,1,1,3,3
300,,,,4,2,0,4,0,2,0,3,0,0,3,2,0,1,2,0,1
301,,,,1,2,4,2,1,1,1,4,0,4,2,0,2,0,2,2,4
302,,,,1,1,0,4,3,3,4,4,2,0,1,0,1,2,0,4,0
303,,,,2,4,4,4,2,1,1,3,2,4,1,0,2,3,0,1,2
304,,,,4,4,1,4,0,0,2,1,1,4,1,3,0,2,0,2,1
305,,,,4,0,4,0,4,3,1,1,3,1,3,3,4,0,3,4,0
306,,,,4,1,1,2,2,3,4,2,0,3,0,4,4,2,2,3,1
307,,,,2,0,4,4,1,4,4,2,1,0,1,1,0,2,3,3,3
308,,,,4,2,2,0,2,3,4,0,4,1,1,2,4,0,0,0,1
309,,,,1,0,1,2,0,2,2,3,2,2,0,2,4,1,1,2,0
310,,,,4,3,3,4,1,2,4,4,0,4,2,0,3,1,1,0,1
311,,,,4,4,1,3,2,2,0,1,0,3,0,0,0,0,1,0,2
312,,,,4,2,1,0,2,2,2,3,1,1,4,0,0,3,3,0,1
313,,,,3,3,3,3,4,2,4,0,0,4,3,0,2,1,1,2,1
314,,,,4,1,2,0,1,3,3,3,1,4,3,4,0,3,4,3,4
315,,,,3,3,1,4,3,2,4,4,2,1,0,2,2,4,4,0,2
316,,,,1,1,3,3,4,2,4,2,1,1,4,3,1,2,1,1,3
317,,,,0,1,2,2,2,1,2,1,3,2,4,3,3,4,3,4,3
318,,,,2,1,4,0,3,1,3,4,3,0,4,3,1,2,3,4,3
319,,,,4,4,2,4,4,1,2,0,1,1,3,4,1,2,0,0,2
320,,,,0,4,2,1,1,0,1,0,0,2,3,4,0,0,4,4,1
321,,,,1,2,3,0,4,2,2,3,3,0,1,2,3,3,0,2,3
322,,,,4,0,4,4,2,2,3,3,4,1,3,3,1,2,1,4,0
323,,,,2,0,4,3,0,1,0,4,3,3,1,3,1,4,1,2,0
324,,,,4,1,3,3,3,3,0,4,1,4,4,4,4,4,1,2,2
325,,,,3,3,1,2,1,4,3,2,0,0,2,1,1,3,2,2,3
326,,,,2,3,3,1,0,2,0,4,0,4,0,0,4,4,4,4,1
327,,,,1,0,1,2,2,0,2,2,4,2,0,0,0,1,0,2,3
328,,,,4,0,4,2,4,4,1,1,1,4,4,3,4,1,4,3,3
329,,,,4,4,3,4,2,4,3,2,0,0,1,3,3,1,1,0,4
330,,,,4,3,4,0,0,0,2,2,3,2,1,3,4,0,4,3,3
331,,,,0,1,1,3,2,0,0,4,0,3,0,0,3,2,4,0,1
332,,,,4,3,0,4,1,1,1,4,1,1,1,0,3,4,2,1,0
333,,,,1,2,3,2,3,1,3,2,0,4,2,1,3,4,2,0,0
334,,,,4,2,2,3,3,1,2,0,2,3,0,1,2,2,2,1,4
335,,,,2,2,1,0,1,3,2,0,3,1,3,1,2,3,0,1,0
336,,,,0,4,4,3,2,3,4,2,4,1,2,2,0,3,3,3,1
337,,,,2,4,4,4,4,2,4,3,1,1,3,0,4,4,2,0,2
338,,,,3,1,1,0,3,0,1,3,1,4,1,4,3,0,2,3,4
339,,,,3,2,1,4,0,0,1,4,2,2,3,4,4,1,2,0,1
340,,,,3,1,1,1,2,3,0,4,4,1,2,3,4,4,2,1,4
341,,,,0,4,2,3,1,0,0,4,1,0,2,2,4,4,0,4,1
342,,,,2,2,3,0,4,2,3,3,0,3,2,0,2,4,2,0,3
343,,,,1,4,1,4,0,4,3,1,2,0,2,2,1,0,3,4,0
344,,,,0,3,0,3,3,1,0,4,2,0,2,3,3,3,1,2,4
345,,,,0,3,1,3,2,4,4,0,4,2,3,2,2,0,2,4,1
346,,,,3,3,0,0,4,3,4,4,3,0,1,0,3,1,0,0,4
347,,,,1,2,0,4,0,2,2,2,0,0,0,2,0,3,2,1,1
348,,,,1,2,2,3,4,3,2,4,2,2,4,2,0,0,0,1,0
349,,,,0,4,4,1,3,3,1,1,4,1,4,2,2,1,3,1,3
350,,,,2,2,0,0,1,4,1,3,1,3,0,2,1,1,4,3,0
351,,,,0,4,4,0,4,2,4,1,1,0,3,4,0,0,1,3,1
352,,,,4,2,3,2,0,1,1,2,0,2,2,0,1,1,3,1,1
353,,,,1,4,3,2,3,1,1,0,0,4,3,1,1,1,2,4,0
